Type,Exchanges,St. Dev Mass Bal Rel Diff,Average Mass Bal Rel Diff,Uncertainty Scenario,,,,,,,,,,,,
Rel diff,Tech - Cement,0.592,0.172,55555,,,,,,,,,,,,
Rel diff,Tech - Coarse aggregate,0.6119,0.169,55555,,,,,,,,,,,,
Rel diff,Tech - Fly-ash,0.5695,0.157,55555,,,,,,,,,,,,
Rel diff,Tech - Fine aggregate,0.5548,0.142,55555,,,,,,,,,,,,
Rel diff,Tech - Water,0.5906,0.135,55555,,,,,,,,,,,,
Rel diff,Tech - Water,0.3007,0.081,44444,,,,,,,,,,,,
Rel diff,Tech - Fine aggregate,0.2735,0.072,44444,,,,,,,,,,,,
Rel diff,Tech - Fly-ash,0.2812,0.07,44444,,,,,,,,,,,,
Rel diff,Tech - Cement,0.2714,0.066,44444,,,,,,,,,,,,
Rel diff,Tech - Coarse aggregate,0.2855,0.059,44444,,,,,,,,,,,,
Rel diff,Tech - Cement,0.1216,0.015,33333,,,,,,,,,,,,
Rel diff,Tech - Water,0.1175,0.014,33333,,,,,,,,,,,,
Rel diff,Tech - Coarse aggregate,0.1089,0.012,33333,,,,,,,,,,,,
Rel diff,Tech - Fine aggregate,0.1089,0.012,33333,,,,,,,,,,,,
Rel diff,Tech - Fly-ash,0.1089,0.012,33333,,,,,,,,,,,,
Rel diff,Tech - Fly-ash,0.0631,0.004,22222,,,,,,,,,,,,
Rel diff,Tech - Coarse aggregate,0.0547,0.003,22222,,,,,,,,,,,,
Rel diff,Tech - Fine aggregate,0.0547,0.003,22222,,,,,,,,,,,,
Rel diff,Tech - Water,0.0547,0.003,22222,,,,,,,,,,,,
Rel diff,Tech - Cement,0.0447,0.002,22222,,,,,,,,,,,,
Rel diff,Tech - Coarse aggregate,0.0447,0.002,11111,,,,,,,,,,,,
Rel diff,Tech - Fine aggregate,0.0447,0.002,11111,,,,,,,,,,,,
Rel diff,Tech - Fly-ash,0.0447,0.002,11111,,,,,,,,,,,,
Rel diff,Tech - Water,0.0447,0.002,11111,,,,,,,,,,,,
Rel diff,Tech - Cement,0.0316,0.001,11111,,,,,,,,,,,,
Abs diff,Product/Tech - Concrete production,0,0,11111,,,,,,,,,,,,
Abs diff,Product/Tech - Concrete production,0,0,22222,,,,,,,,,,,,
Abs diff,Product/Tech - Concrete production,0,0,33333,,,,,,,,,,,,
Abs diff,Product/Tech - Concrete production,0,0,44444,,,,,,,,,,,,
Abs diff,Product/Tech - Concrete production,0,0,55555,,,,,,,,,,,,
Rel diff,Product/Tech - Concrete production,0,0,11111,,,,,,,,,,,,
Rel diff,Product/Tech - Concrete production,0,0,22222,,,,,,,,,,,,
Rel diff,Product/Tech - Concrete production,0,0,33333,,,,,,,,,,,,
Rel diff,Product/Tech - Concrete production,0,0,44444,,,,,,,,,,,,
Rel diff,Product/Tech - Concrete production,0,0,55555,,,,,,,,,,,,
Abs diff,Tech - Fly-ash,10.0217,-0.556,11111,,,,,,,,,,,,
Abs diff,Tech - Water,25.1044,-0.595,11111,,,,,,,,,,,,
Abs diff,Tech - Cement,26.2243,-0.737,22222,,,,,,,,,,,,
Abs diff,Tech - Fly-ash,10.803,-0.848,22222,,,,,,,,,,,,
Abs diff,Tech - Cement,24.0603,-1.39,11111,,,,,,,,,,,,
Abs diff,Tech - Fly-ash,12.8811,-1.476,33333,,,,,,,,,,,,
Abs diff,Tech - Cement,31.4153,-2.351,33333,,,,,,,,,,,,
Abs diff,Tech - Fly-ash,20.9399,-2.61,44444,,,,,,,,,,,,
Abs diff,Tech - Water,26.2664,-2.761,22222,Type,Abs diff,,,,,,,,,,
Abs diff,Tech - Fine aggregate,102.2905,-4.097,11111,,,,,,,,,,,,
Abs diff,Tech - Water,33.3906,-4.292,33333,Average of St. Dev Mass Bal Rel Diff,Column Labels,,,,,,Compared to 33333 scoring,,,,
Abs diff,Tech - Cement,51.6468,-7.147,44444,Row Labels,11111,22222,33333,44444,55555,,11111,22222,33333,44444,55555
